C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4151.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4152.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4154.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4156.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4160.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4161.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4162.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4165.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4167.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4169.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4170.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4171.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4174.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4175.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4176.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4177.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4179.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4181.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4182.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4185.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4189.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4191.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4193.HEIC,Other|vehicles|train
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4195.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4198.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4203.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4204.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4205.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4206.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4207.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4208.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4210.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4213.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4214.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4221.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4223.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4224.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4225.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4226.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4227.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4230.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4232.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4233.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4236.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4238.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4246.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4248.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4249.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4254.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4255.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4256.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4257.HEIC,Other|animals|sheep
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4259.HEIC,Other|animals|giraffe^Other|animals|sheep
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4260.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4261.HEIC,Other|animals|sheep^Other|vehicles|car
